Date,US 10 Year,UK 10 Year,US 3 month,UK 3 month,US Stock Market,UK Stock Market,USDperGBP
1976-08-31,0.006383333333333334,0.012341666666666667,0.004241666666666666,0.009140666666666667,61.4662853,46.1902,1.779
1976-09-30,0.006291666666666667,0.012916666666666667,0.004216666666666666,0.010729166666666666,63.049669,43.5346,1.669
1976-10-31,0.006183333333333333,0.013441666666666666,0.004075,0.012057333333333333,61.8501766,38.9141,1.591
1976-11-30,0.005841666666666667,0.012441666666666667,0.003683333333333333,0.01169275,61.5723502,42.1234,1.6545
1976-12-31,0.0056749999999999995,0.012166666666666666,0.0036166666666666665,0.011224,65.0083427,49.9265,1.7025
1977-01-31,0.006166666666666667,0.011041666666666667,0.003933333333333333,0.00985675,61.934846,54.9794,1.7155
1977-02-28,0.006208333333333333,0.011733333333333333,0.003916666666666666,0.00891925,60.8053955,56.638,1.7153
1977-03-31,0.006183333333333333,0.01035,0.0037833333333333334,0.007395833333333333,60.1654166,58.8368,1.7201
1977-04-30,0.006208333333333333,0.010683333333333333,0.003908333333333334,0.006171916666666667,60.3997987,60.6884,1.7194
1977-05-31,0.00615,0.010825,0.0041916666666666665,0.006263,59.1994441,62.7004,1.7196
1977-06-30,0.006,0.010825,0.00415,0.0062239999999999995,62.1085453,64.4606,1.72
1977-07-31,0.006183333333333333,0.010750000000000001,0.0045000000000000005,0.006145833333333333,61.3326869,63.0655,1.7375
1977-08-31,0.006066666666666667,0.010616666666666667,0.004633333333333333,0.0053255,60.2747888,70.4748,1.743
1977-09-30,0.006175,0.008866666666666667,0.004908333333333333,0.004375,60.3587874,76.9099,1.7479
1977-10-31,0.00635,0.008958333333333334,0.00515,0.00375,57.9823076,75.5826,1.8465
1977-11-30,0.006291666666666667,0.009633333333333334,0.005033333333333333,0.005403666666666667,59.789971,72.036,1.8175
1977-12-31,0.006483333333333333,0.008775,0.005108333333333334,0.005182333333333333,60.2055422,74.4715,1.92
1978-01-31,0.006616666666666667,0.009158333333333334,0.00535,0.00485675,56.7553642,71.1159,1.952
1978-02-28,0.006699999999999999,0.0098,0.00535,0.004974,55.604142,67.7265,1.942
1978-03-31,0.006791666666666667,0.0098,0.005391666666666666,0.005013,57.2459195,72.2604,1.865
1978-04-30,0.006866666666666667,0.010291666666666666,0.005291666666666667,0.005859416666666666,62.398185,73.7019,1.825
1978-05-31,0.007016666666666667,0.01035,0.005541666666666667,0.0071224166666666675,62.9260972,77.0045,1.8365
1978-06-30,0.007183333333333332,0.01035,0.005841666666666667,0.007773416666666666,62.084313,75.201,1.853
1978-07-31,0.0071333333333333335,0.010225,0.005633333333333333,0.00765625,65.7033488,80.3802,1.932
1978-08-31,0.006991666666666667,0.010483333333333334,0.0062833333333333335,0.007421916666666667,67.6796207,82.7293,1.944
1978-09-30,0.0071333333333333335,0.010616666666666667,0.0066500000000000005,0.00765625,67.4625434,82.6067,1.9746
1978-10-31,0.0074666666666666675,0.010683333333333333,0.007291666666666667,0.008632833333333334,61.5625512,79.7366,2.076
1978-11-30,0.007383333333333333,0.01055,0.007508333333333333,0.009635416666666667,62.8659749,81.2785,1.9445
1978-12-31,0.007625000000000001,0.010483333333333334,0.007716666666666667,0.009700499999999999,64.082723,80.7917,2.0435
1979-01-31,0.0074583333333333324,0.011183333333333333,0.007741666666666666,0.010234416666666666,66.9184918,82.453,1.9885
1979-02-28,0.007641666666666666,0.010216666666666667,0.007875,0.009778666666666668,64.76439,87.9633,2.026
1979-03-31,0.007591666666666666,0.0091,0.007866666666666666,0.009479166666666667,68.6278204,99.0423,2.0695
1979-04-30,0.007791666666666666,0.00925,0.007966666666666667,0.009414083333333333,69.0434109,104.357,2.07
1979-05-31,0.00755,0.009508333333333334,0.007975,0.009544249999999999,67.5270032,97.9935,2.0684
1979-06-30,0.007341666666666667,0.010225,0.0074583333333333324,0.011145833333333334,70.440646,93.3672,2.1765
1979-07-31,0.007508333333333333,0.01015,0.00765,0.011145833333333334,71.3711109,89.7489,2.2465
1979-08-31,0.0077,0.009841666666666667,0.008175,0.009440083333333333,75.4749972,94.1013,2.2605
1979-09-30,0.007866666666666666,0.009883333333333333,0.008433333333333333,0.011158833333333333,75.7919922,97.3604,2.199
1979-10-31,0.008933333333333333,0.010508333333333333,0.0101,0.01138175,70.9187012,91.2526,2.0825
1979-11-30,0.008650000000000001,0.011425000000000001,0.009575,0.013385416666666667,74.2693644,89.3912,2.1965
1979-12-31,0.008608333333333334,0.0116,0.010033333333333333,0.013229166666666667,75.8437676,89.3055,2.2145
1980-01-31,0.009275,0.011283333333333333,0.01,0.01328125,80.5538084,98.3927,2.2668
1980-02-29,0.0106,0.0114,0.011675,0.0134375,80.5418517,103.644,2.2625
1980-03-31,0.010533333333333334,0.011383333333333334,0.011866666666666666,0.013554666666666666,72.6855319,94.9432,2.157
1980-04-30,0.008966666666666666,0.010924999999999999,0.008658333333333334,0.013320333333333333,76.0283503,99.1073,2.266
1980-05-31,0.008541666666666666,0.010658333333333332,0.006458333333333333,0.013372416666666668,79.9231262,97.3305,2.3545
1980-06-30,0.008408333333333334,0.010750000000000001,0.006566666666666667,0.013059916666666668,82.4342241,108.268,2.36
1980-07-31,0.008966666666666666,0.0106,0.007183333333333332,0.012265666666666666,88.1607071,114.011,2.332
1980-08-31,0.009625,0.011,0.0083,0.012526083333333334,89.0416891,114.769,2.405
1980-09-30,0.009883333333333333,0.010683333333333333,0.009533333333333333,0.011966166666666667,91.6508201,118.422,2.386
